spec_id,dimensions,lcd size,sensor resolution,weight
www.shopbot.com.au//379,,,,
www.shopbot.com.au//1659,h3.8w4.9d3.0,3,24.2,505
www.shopbot.com.au//1209,,,,
www.shopbot.com.au//1570,,,,
www.shopbot.com.au//284,,,,
www.shopbot.com.au//1527,,,,
www.shopbot.com.au//1198,h2.5w4.1d1.3,3,16,215
www.shopbot.com.au//292,,,,
www.shopbot.com.au//1618,h2.2w3.8d0.7,3,16.1,123
www.shopbot.com.au//1531,,,,
www.shopbot.com.au//441,,,,
www.shopbot.com.au//1566,,,,
www.shopbot.com.au//1423,,,,
www.shopbot.com.au//1264,h3.2w5.5d1.7,3,16.3,450
www.shopbot.com.au//251,,,,
www.shopbot.com.au//1634,,,,
www.shopbot.com.au//1321,,,,
www.shopbot.com.au//1458,,,,
www.shopbot.com.au//1399,h2.7w4.6d1.5,3,16,318
www.shopbot.com.au//1663,,,,
www.shopbot.com.au//1233,,,,
www.shopbot.com.au//1376,h4.1w5.2d3.0,3,16.2,780
www.shopbot.com.au//343,,,,
www.shopbot.com.au//1225,,,,
www.shopbot.com.au//355,,,,
www.shopbot.com.au//1360,,,,
www.shopbot.com.au//1419,,,,
www.shopbot.com.au//1622,,,,
www.shopbot.com.au//247,h3.9w5.2d3.1,3,18,570
www.shopbot.com.au//1272,h4.8w5.7d3.2,3.2,36.3,900
www.shopbot.com.au//1337,,,,
www.shopbot.com.au//302,,,,
www.shopbot.com.au//1439,h2.7w4.8d1.3,3,12.3,369
www.shopbot.com.au//1593,,,,
www.shopbot.com.au//1340,h2.6w4.3d1.3,3,12.1,264
www.shopbot.com.au//1205,,,,
www.shopbot.com.au//230,,,,
www.shopbot.com.au//1655,,,,
www.shopbot.com.au//1481,,,,
www.shopbot.com.au//288,,,,
www.shopbot.com.au//1317,h2.6w4.8d2.3,,15.4,330
www.shopbot.com.au//322,,,,
www.shopbot.com.au//1602,,,,
www.shopbot.com.au//1497,h2.7w4.2d1.6,3,16,226
www.shopbot.com.au//1478,h3.5w4.8d1.7,3,16.1,425
www.shopbot.com.au//334,,,,
www.shopbot.com.au//1301,,,,
www.shopbot.com.au//1244,,,,
www.shopbot.com.au//271,,,,
www.shopbot.com.au//1614,,,,
www.shopbot.com.au//1585,,,,
www.shopbot.com.au//363,,,,
www.shopbot.com.au//1643,,,,
www.shopbot.com.au//226,,,,
www.shopbot.com.au//1511,,,,
www.shopbot.com.au//1638,h2.4w4.2d1.3,3,12.1,231
www.shopbot.com.au//1268,,,,
www.shopbot.com.au//1287,,,,
www.shopbot.com.au//318,,,,
www.shopbot.com.au//436,,,,
www.shopbot.com.au//1403,,,,
www.shopbot.com.au//1546,,,,
www.shopbot.com.au//1395,,,,
www.shopbot.com.au//1415,h4.2w5.7d3.1,3,18,755
www.shopbot.com.au//1550,h3.6w4.9d3.3,2.6,16.1,506
www.shopbot.com.au//1383,,,,
www.shopbot.com.au//1229,,,,
www.shopbot.com.au//1442,,,,
www.shopbot.com.au//1291,h3.8w5.2d5.0,3,16,687
www.shopbot.com.au//1382,h3.8w5.0d3.1,3,16.2,560
www.shopbot.com.au//1228,,,,
www.shopbot.com.au//358,,,,
www.shopbot.com.au//1414,,,,
www.shopbot.com.au//1551,,,,
www.shopbot.com.au//1394,,,,
www.shopbot.com.au//437,,,,
www.shopbot.com.au//1402,,,,
www.shopbot.com.au//1547,,,,
www.shopbot.com.au//1639,,,,
www.shopbot.com.au//1269,h3.4w4.8d3.7,3,18.2,583
www.shopbot.com.au//319,h3.8w4.9d3.0,3,14.2,505
www.shopbot.com.au//1455,h3.9w5.2d3.2,3,16.1,618
www.shopbot.com.au//1357,,,,
www.shopbot.com.au//362,,,,
www.shopbot.com.au//227,,,,
www.shopbot.com.au//1212,h2.7w4.9d2.0,2.7,16.2,345
www.shopbot.com.au//1584,h2.6w4.4d1.7,3,10,275
www.shopbot.com.au//1300,h4.6w6.0d3.0,3.2,22.3,950
www.shopbot.com.au//1245,h4.1w5.2d3.0,3,16.2,780
www.shopbot.com.au//1479,h2.3w3.7d0.8,2.7,14,121
www.shopbot.com.au//289,,,,
www.shopbot.com.au//1316,h3.9w5.2d3.1,3,18,570
www.shopbot.com.au//323,h3.5w4.8d1.7,3,16.1,425
www.shopbot.com.au//1603,,,,
www.shopbot.com.au//266,,,,
www.shopbot.com.au//1253,,,,
www.shopbot.com.au//1480,,,,
www.shopbot.com.au//374,,,,
www.shopbot.com.au//231,h3.8w4.9d3.0,3,14.2,505
www.shopbot.com.au//1438,h2.2w3.9d0.8,2.7,14.1,112
www.shopbot.com.au//1592,h2.2w3.8d0.9,3,12.1,140
www.shopbot.com.au//246,,,,
www.shopbot.com.au//1273,,,,
www.shopbot.com.au//1336,h3.1w4.8d2.3,3,16.3,561
www.shopbot.com.au//303,,,,
www.shopbot.com.au//1224,,,,
www.shopbot.com.au//354,,,,
www.shopbot.com.au//1398,,,,
www.shopbot.com.au//1662,,,,
www.shopbot.com.au//207,,,,
www.shopbot.com.au//1232,h2.2w3.8d0.7,3,14,125
www.shopbot.com.au//1377,,,,
www.shopbot.com.au//1459,h6.5w6.2d3.3,3.2,18.1,
www.shopbot.com.au//196,h3.8w5.0d3.1,3,16.2,560
www.shopbot.com.au//1265,,,,
www.shopbot.com.au//250,,,,
www.shopbot.com.au//1635,,,,
www.shopbot.com.au//315,,,,
www.shopbot.com.au//1567,,,,
www.shopbot.com.au//417,,,,
www.shopbot.com.au//1422,h2.4w4.8d1.2,3,16,198
www.shopbot.com.au//1588,,,,
www.shopbot.com.au//1530,,,,
www.shopbot.com.au//293,h2.4w4.3d1.2,3,16,215
www.shopbot.com.au//339,h2.1w3.6d0.9,2.7,18.2,108
www.shopbot.com.au//1619,h4.5w5.8d2.9,3,12.3,938
www.shopbot.com.au//1526,h2.3w4.1d1.1,3,14.1,210
www.shopbot.com.au//1199,h2.4w4.8d1.2,3,16,192
www.shopbot.com.au//285,,,,
www.shopbot.com.au//1571,,,,
www.shopbot.com.au//401,,,,
www.shopbot.com.au//378,,,,
www.shopbot.com.au//1208,h3.0w5.0d2.1,2.8,12.3,445
www.shopbot.com.au//373,,,,
www.shopbot.com.au//1203,,,,
www.shopbot.com.au//324,,,,
www.shopbot.com.au//1311,h3.9w5.2d3.2,3,16.1,618
www.shopbot.com.au//1604,,,,
www.shopbot.com.au//1254,h6.2w6.3d3.6,3.2,16.2,1340
www.shopbot.com.au//261,,,,
www.shopbot.com.au//1491,,,,
www.shopbot.com.au//1307,h2.6w4.7d1.7,3,24.3,400
www.shopbot.com.au//332,,,,
www.shopbot.com.au//298,h2.4w4.4d1.5,3,16,235
www.shopbot.com.au//1242,h3.1w5.5d1.5,2.5,18,600
www.shopbot.com.au//1612,h4.6w6.0d3.0,3.2,22.3,950
www.shopbot.com.au//1583,,,,
www.shopbot.com.au//1429,,,,
www.shopbot.com.au//1350,h3.2w4.6d2.6,3,14.3,534
www.shopbot.com.au//1215,h6.5w6.2d3.3,3.2,18.1,
www.shopbot.com.au//1452,,,,
www.shopbot.com.au//1281,,,,
www.shopbot.com.au//1405,h2.4w4.1d1.3,3,16.1,222
www.shopbot.com.au//430,,,,
www.shopbot.com.au//1540,,,,
www.shopbot.com.au//1239,h3.3w4.5d1.9,3,15.8,336
www.shopbot.com.au//426,,,,
www.shopbot.com.au//1413,h4.2w5.7d3.1,3,18,755
www.shopbot.com.au//1385,,,,
www.shopbot.com.au//1501,,,,
www.shopbot.com.au//1278,,,,
www.shopbot.com.au//1628,h2.7w4.8d1.3,3,12.3,369
www.shopbot.com.au//308,h3.8w4.9d3.0,3,24.2,505
www.shopbot.com.au//1297,h2.6w4.6d1.7,3,16.1,314
www.shopbot.com.au//390,h4.5w6.0d3.0,3,21,850
www.shopbot.com.au//1576,h2.6w4.3d1.7,3,10.1,271
www.shopbot.com.au//1433,,,,
www.shopbot.com.au//328,,,,
www.shopbot.com.au//1258,,,,
www.shopbot.com.au//1608,,,,
www.shopbot.com.au//1521,,,,
www.shopbot.com.au//1464,,,,
www.shopbot.com.au//294,,,,
www.shopbot.com.au//1537,h4.2w5.3d5.9,3,12,920
www.shopbot.com.au//369,,,,
www.shopbot.com.au//1219,,,,
www.shopbot.com.au//1649,,,,
www.shopbot.com.au//1560,,,,
www.shopbot.com.au//1425,,,,
www.shopbot.com.au//257,,,,
www.shopbot.com.au//1262,h2.5w3.8d0.9,2.7,14,155
www.shopbot.com.au//1632,h3.2w5.5d1.7,3,16.3,450
www.shopbot.com.au//312,,,,
www.shopbot.com.au//191,,,,
www.shopbot.com.au//1665,,,,
www.shopbot.com.au//1235,h6.5w6.2d3.3,3.2,18.1,
www.shopbot.com.au//345,h2.3w3.7d1.0,2.7,16,160
www.shopbot.com.au//1370,,,,
www.shopbot.com.au//1409,h2.2w3.8d0.8,2.7,14.1,96
www.shopbot.com.au//1389,h6.5w6.2d3.3,3.2,18.1,
www.shopbot.com.au//1366,h6.2w6.3d3.5,3,12.1,1240
www.shopbot.com.au//353,,,,
www.shopbot.com.au//1624,h2.4w4.2d1.4,3,18.2,254
www.shopbot.com.au//1274,h2.7w3.9d0.9,2.7,14.2,165
www.shopbot.com.au//241,h3.9w5.1d3.1,2.7,12.2,495
www.shopbot.com.au//1331,h2.7w4.6d1.3,3,12.1,307
www.shopbot.com.au//1449,,,,
www.shopbot.com.au//1625,h2.4w4.1d1.3,3,12.1,218
www.shopbot.com.au//305,,,,
www.shopbot.com.au//1330,,,,
www.shopbot.com.au//217,,,,
www.shopbot.com.au//1222,,,,
www.shopbot.com.au//1388,,,,
www.shopbot.com.au//1367,h2.6w4.3d0.9,3,16,178
www.shopbot.com.au//352,,,,
www.shopbot.com.au//1408,,,,
www.shopbot.com.au//1664,,,,
www.shopbot.com.au//201,,,,
www.shopbot.com.au//344,,,,
www.shopbot.com.au//1263,,,,
www.shopbot.com.au//1633,,,,
www.shopbot.com.au//313,,,,
www.shopbot.com.au//1424,,,,
www.shopbot.com.au//411,h3.2w4.6d3.9,3,14,540
www.shopbot.com.au//368,,,,
www.shopbot.com.au//1218,h2.3w3.7d0.7,2.7,16,128
www.shopbot.com.au//1473,h4.2w5.7d3.1,3,18,755
www.shopbot.com.au//295,,,,
www.shopbot.com.au//1520,,,,
www.shopbot.com.au//1465,,,,
www.shopbot.com.au//283,h2.4w4.2d1.2,3,10.1,234
www.shopbot.com.au//1577,h3.7w4.8d3.9,3,14,510
www.shopbot.com.au//1598,,,,
www.shopbot.com.au//407,,,,
www.shopbot.com.au//391,,,,
www.shopbot.com.au//1279,h2.0w3.6d0.7,2.7,16.2,117
www.shopbot.com.au//1629,,,,
www.shopbot.com.au//309,,,,
www.shopbot.com.au//1296,,,,
www.shopbot.com.au//1445,,,,
www.shopbot.com.au//1384,,,,
www.shopbot.com.au//1412,h3.2w5.5d1.7,3,16.3,450
www.shopbot.com.au//1557,h2.8w4.1d1.1,2.7,14.4,205
www.shopbot.com.au//1392,h3.2w5.5d1.7,3,16.3,450
www.shopbot.com.au//348,,,,
www.shopbot.com.au//431,h3.8w4.9d3.0,3,24.2,505
www.shopbot.com.au//1453,,,,
www.shopbot.com.au//1644,,,,
www.shopbot.com.au//1214,,,,
www.shopbot.com.au//221,,,,
www.shopbot.com.au//1582,h2.4w4.3d1.3,3,16.2,225
www.shopbot.com.au//1428,,,,
www.shopbot.com.au//1306,h2.5w4.1d1.4,3,16,234
www.shopbot.com.au//333,,,,
www.shopbot.com.au//299,h3.8w4.9d3.0,3,14.2,505
www.shopbot.com.au//276,,,,
www.shopbot.com.au//1243,h3.0w4.4d3.3,3,16,430
www.shopbot.com.au//1613,,,,
www.shopbot.com.au//1490,,,,
www.shopbot.com.au//325,,,,
www.shopbot.com.au//1255,,,,
www.shopbot.com.au//260,h3.8w4.9d3.0,3,24.2,505
www.shopbot.com.au//1486,,,,
www.shopbot.com.au//1469,,,,
www.shopbot.com.au//372,h4.1w5.2d3.0,3,12.3,703
www.shopbot.com.au//1202,,,,
www.shopbot.com.au//1594,,,,
www.shopbot.com.au//1503,,,,
www.shopbot.com.au//1446,h6.5w6.2d3.3,3.2,18.1,
www.shopbot.com.au//1387,,,,
www.shopbot.com.au//218,,,,
www.shopbot.com.au//1554,,,,
www.shopbot.com.au//424,,,,
www.shopbot.com.au//1542,h2.3w3.8d0.8,3,16,139
www.shopbot.com.au//1407,h4.6w6.0d3.0,3.2,22.3,950
www.shopbot.com.au//1329,,,,
www.shopbot.com.au//259,,,,
www.shopbot.com.au//1515,,,,
www.shopbot.com.au//1450,,,,
www.shopbot.com.au//388,,,,
www.shopbot.com.au//1647,h2.5w3.8d0.9,3,12,155
www.shopbot.com.au//1217,h3.8w4.9d3.0,3,24.2,505
www.shopbot.com.au//222,h2.4w4.2d1.3,3,12.1,223
www.shopbot.com.au//367,,,,
www.shopbot.com.au//1352,,,,
www.shopbot.com.au//1581,,,,
www.shopbot.com.au//275,,,,
www.shopbot.com.au//1240,,,,
www.shopbot.com.au//1610,,,,
www.shopbot.com.au//1305,,,,
www.shopbot.com.au//330,,,,
www.shopbot.com.au//1493,h3.2w4.6d3.9,3,14,543
www.shopbot.com.au//1606,,,,
www.shopbot.com.au//1256,,,,
www.shopbot.com.au//263,,,,
www.shopbot.com.au//326,,,,
www.shopbot.com.au//1313,,,,
www.shopbot.com.au//1201,,,,
www.shopbot.com.au//1651,,,,
www.shopbot.com.au//1344,,,,
www.shopbot.com.au//371,,,,
www.shopbot.com.au//408,,,,
www.shopbot.com.au//1578,,,,
www.shopbot.com.au//306,,,,
www.shopbot.com.au//1333,,,,
www.shopbot.com.au//1626,,,,
www.shopbot.com.au//1276,,,,
www.shopbot.com.au//243,,,,
www.shopbot.com.au//1558,,,,
www.shopbot.com.au//428,,,,
www.shopbot.com.au//1364,h2.5w4.1d1.1,2.7,12.1,197
www.shopbot.com.au//351,,,,
www.shopbot.com.au//214,,,,
www.shopbot.com.au//347,h2.1w3.4d0.7,3,10.1,155
www.shopbot.com.au//1237,,,,
www.shopbot.com.au//202,,,,
www.shopbot.com.au//193,,,,
www.shopbot.com.au//1325,h4.2w5.7d3.1,3,18,755
www.shopbot.com.au//255,,,,
www.shopbot.com.au//1260,,,,
www.shopbot.com.au//1427,h3.2w4.9d3.7,3,12.1,540
www.shopbot.com.au//412,h3.9w5.2d3.1,3,18,570
www.shopbot.com.au//1562,,,,
www.shopbot.com.au//1470,h2.6w4.8d2.5,,15.4,330
www.shopbot.com.au//1309,,,,
www.shopbot.com.au//1466,,,,
www.shopbot.com.au//1523,h2.8w4.6d2.2,2.8,12,350
www.shopbot.com.au//1489,,,,
www.shopbot.com.au//280,,,,
www.shopbot.com.au//404,h4.1w5.2d3.0,3,16.2,780
www.shopbot.com.au//1431,h3.9w5.2d3.2,3,16.1,618
www.shopbot.com.au//1574,,,,
www.shopbot.com.au//238,,,,
www.shopbot.com.au//1348,,,,
www.shopbot.com.au//393,h3.5w4.8d1.7,3,16.1,425
www.shopbot.com.au//405,,,,
www.shopbot.com.au//1430,,,,
www.shopbot.com.au//281,,,,
www.shopbot.com.au//1467,,,,
www.shopbot.com.au//1522,h3.8w5.0d3.1,3,16.2,560
www.shopbot.com.au//1488,,,,
www.shopbot.com.au//297,,,,
www.shopbot.com.au//1308,,,,
www.shopbot.com.au//1534,h2.7w4.6d1.5,3,16,318
www.shopbot.com.au//385,,,,
www.shopbot.com.au//1426,,,,
www.shopbot.com.au//413,h2.1w3.4d0.8,3.2,10.1,163
www.shopbot.com.au//1563,,,,
www.shopbot.com.au//311,,,,
www.shopbot.com.au//254,,,,
www.shopbot.com.au//1261,,,,
www.shopbot.com.au//1631,,,,
www.shopbot.com.au//1518,,,,
www.shopbot.com.au//1373,,,,
www.shopbot.com.au//1365,,,,
www.shopbot.com.au//350,,,,
www.shopbot.com.au//215,h3.5w4.8d1.6,3,20.3,341
www.shopbot.com.au//429,,,,
www.shopbot.com.au//307,,,,
www.shopbot.com.au//1332,h4.6w5.6d3.0,3,12.3,800
www.shopbot.com.au//1277,,,,
www.shopbot.com.au//242,,,,
www.shopbot.com.au//409,,,,
www.shopbot.com.au//1596,,,,
www.shopbot.com.au//1579,,,,
www.shopbot.com.au//235,,,,
www.shopbot.com.au//1650,,,,
www.shopbot.com.au//1345,,,,
www.shopbot.com.au//370,h6.5w6.2d3.3,3.2,18.1,
www.shopbot.com.au//1484,,,,
www.shopbot.com.au//1257,h4.6w6.0d3.0,3.2,22.3,950
www.shopbot.com.au//262,,,,
www.shopbot.com.au//327,,,,
www.shopbot.com.au//1492,,,,
www.shopbot.com.au//1611,,,,
www.shopbot.com.au//1304,,,,
www.shopbot.com.au//331,h4.1w5.2d3.0,3,12.3,703
www.shopbot.com.au//1580,,,,
www.shopbot.com.au//1646,,,,
www.shopbot.com.au//389,,,,
www.shopbot.com.au//1216,,,,
www.shopbot.com.au//223,,,,
www.shopbot.com.au//366,,,,
www.shopbot.com.au//1514,h3.9w5.1d3.1,2.7,12.2,495
www.shopbot.com.au//258,,,,
www.shopbot.com.au//433,,,,
www.shopbot.com.au//1555,,,,
www.shopbot.com.au//425,,,,
www.shopbot.com.au//1410,,,,
www.shopbot.com.au//1369,,,,
www.shopbot.com.au//1386,h4.6w6.0d3.0,3.2,22.3,950
www.shopbot.com.au//1502,h3.9w5.2d3.2,3,16.1,618
www.shopbot.com.au//1447,,,,
www.shopbot.com.au//1509,h2.2w3.7d0.9,3,16.1,142
www.shopbot.com.au//1335,,,,
www.shopbot.com.au//1620,,,,
www.shopbot.com.au//1270,,,,
www.shopbot.com.au//357,,,,
www.shopbot.com.au//1362,h2.8w4.4d1.1,3,12.1,228
www.shopbot.com.au//212,,,,
www.shopbot.com.au//438,,,,
www.shopbot.com.au//1374,,,,
www.shopbot.com.au//341,h3.6w5.2d5.0,3,16,730
www.shopbot.com.au//1661,,,,
www.shopbot.com.au//204,,,,
www.shopbot.com.au//1231,,,,
www.shopbot.com.au//316,,,,
www.shopbot.com.au//1323,,,,
www.shopbot.com.au//1289,,,,
www.shopbot.com.au//1266,,,,
www.shopbot.com.au//1636,,,,
www.shopbot.com.au//1564,,,,
www.shopbot.com.au//1358,,,,
www.shopbot.com.au//1476,,,,
www.shopbot.com.au//1499,,,,
www.shopbot.com.au//290,h4.2w5.7d3.1,3,18,755
www.shopbot.com.au//1460,,,,
www.shopbot.com.au//1525,,,,
www.shopbot.com.au//269,,,,
www.shopbot.com.au//1319,,,,
www.shopbot.com.au//286,,,,
www.shopbot.com.au//1437,,,,
www.shopbot.com.au//402,,,,
www.shopbot.com.au//1572,,,,
www.shopbot.com.au//1339,h2.3w4.1d1.3,3,16,194
www.shopbot.com.au//249,,,,
www.shopbot.com.au//1505,h4.8w5.7d3.2,3.2,36.3,900
www.shopbot.com.au//1552,h3.8w5.2d3.2,3,24.3,622
www.shopbot.com.au//1417,,,,
www.shopbot.com.au//422,,,,
www.shopbot.com.au//1378,,,,
www.shopbot.com.au//208,,,,
www.shopbot.com.au//1397,,,,
www.shopbot.com.au//1544,h2.4w4.3d1.2,3,16,209
www.shopbot.com.au//1401,h3.0w4.5d1.8,3,10.1,310
www.shopbot.com.au//1513,h4.6w6.0d3.0,3.2,22.3,950
www.shopbot.com.au//199,,,,
www.shopbot.com.au//1456,h2.0w3.7d0.7,2.7,14.1,113
www.shopbot.com.au//1211,h2.3w3.9d0.8,3,16.1,131
www.shopbot.com.au//1354,,,,
www.shopbot.com.au//361,,,,
www.shopbot.com.au//418,,,,
www.shopbot.com.au//1568,,,,
www.shopbot.com.au//1246,h2.3w4.0d0.7,2.7,16.1,142
www.shopbot.com.au//273,,,,
www.shopbot.com.au//336,h3.5w4.8d1.7,3,16.1,425
www.shopbot.com.au//1303,h3.2w4.6d3.9,3,14,300
www.shopbot.com.au//1495,h2.3w3.7d1.0,2.7,16,160
www.shopbot.com.au//1600,,,,
www.shopbot.com.au//265,h3.6w4.8d4.3,2.7,12.1,600
www.shopbot.com.au//1250,,,,
www.shopbot.com.au//1315,h2.6w4.3d1.5,3,12.1,267
www.shopbot.com.au//320,,,,
www.shopbot.com.au//1483,,,,
www.shopbot.com.au//1529,h3.0w4.4d1.9,2.8,10,401
www.shopbot.com.au//232,,,,
www.shopbot.com.au//1657,,,,
www.shopbot.com.au//398,,,,
www.shopbot.com.au//377,,,,
www.shopbot.com.au//1342,,,,
www.shopbot.com.au//1590,h2.3w4.1d1.3,3,16,213
www.shopbot.com.au//1206,,,,
www.shopbot.com.au//233,,,,
www.shopbot.com.au//399,h4.3w5.8d2.9,3,18,820
www.shopbot.com.au//1656,h2.2w3.8d0.7,3,16.2,133
www.shopbot.com.au//1343,,,,
www.shopbot.com.au//1197,,,,
www.shopbot.com.au//1482,h3.8w4.9d3.0,3,24.2,505
www.shopbot.com.au//1528,h2.4w4.3d1.2,3,16,208
www.shopbot.com.au//1601,h4.3w5.8d2.9,3,18,820
www.shopbot.com.au//1251,,,,
www.shopbot.com.au//321,,,,
www.shopbot.com.au//1494,,,,
www.shopbot.com.au//1247,,,,
www.shopbot.com.au//337,h3.3w4.7d4.0,3,16,555
www.shopbot.com.au//1302,,,,
www.shopbot.com.au//419,h3.8w4.9d3.0,3,24.2,505
www.shopbot.com.au//1640,,,,
www.shopbot.com.au//1355,,,,
www.shopbot.com.au//1512,h3.8w5.2d3.2,3,24.3,622
www.shopbot.com.au//1457,h3.9w5.2d3.1,3,18,570
www.shopbot.com.au//198,,,,
www.shopbot.com.au//1545,,,,
www.shopbot.com.au//435,,,,
www.shopbot.com.au//1379,,,,
www.shopbot.com.au//209,,,,
www.shopbot.com.au//1396,,,,
www.shopbot.com.au//1553,,,,
www.shopbot.com.au//1416,,,,
www.shopbot.com.au//423,,,,
www.shopbot.com.au//1504,,,,
www.shopbot.com.au//1441,h3.2w5.5d1.7,3,16.3,450
www.shopbot.com.au//1338,,,,
www.shopbot.com.au//248,h4.6w6.0d3.0,3.2,22.3,950
www.shopbot.com.au//395,,,,
www.shopbot.com.au//1436,,,,
www.shopbot.com.au//403,,,,
www.shopbot.com.au//1573,,,,
www.shopbot.com.au//268,h2.3w4.5d1.1,2.7,14,157
www.shopbot.com.au//1318,,,,
www.shopbot.com.au//287,,,,
www.shopbot.com.au//1461,,,,
www.shopbot.com.au//1524,h4.8w5.7d3.2,3.2,36.3,900
www.shopbot.com.au//291,,,,
www.shopbot.com.au//1477,,,,
www.shopbot.com.au//442,,,,
www.shopbot.com.au//1498,,,,
www.shopbot.com.au//229,,,,
www.shopbot.com.au//383,,,,
www.shopbot.com.au//1359,,,,
www.shopbot.com.au//415,,,,
www.shopbot.com.au//1565,h3.9w5.2d3.1,3,18,570
www.shopbot.com.au//317,,,,
www.shopbot.com.au//1288,h2.3w4.1d1.1,3,14.1,206
www.shopbot.com.au//252,,,,
www.shopbot.com.au//1637,,,,
www.shopbot.com.au//194,,,,
www.shopbot.com.au//1375,,,,
www.shopbot.com.au//205,,,,
www.shopbot.com.au//1230,h2.3w4.1d1.3,3,12.1,208
www.shopbot.com.au//1549,,,,
www.shopbot.com.au//356,h3.2w5.5d1.7,3,16.3,450
www.shopbot.com.au//1226,,,,
www.shopbot.com.au//1334,,,,
www.shopbot.com.au//1271,h2.6w3.9d1.0,3,12,221
www.shopbot.com.au//1508,,,,
