spec_id,dimensions,weight
www.walmart.com//729,2.2h0.8w3.8d,499.0
www.walmart.com//683,0.8h2.4w4.2d,340.0
www.walmart.com//768,1.1h2.4w4.0d,2406.0
www.walmart.com//787,4.4h5.8w2.9d,1930.0
www.walmart.com//154,3.9h9.3w5.9d,953.0
www.walmart.com//695,2.7h4.3w1.1d,227.0
www.walmart.com//800,0.9h2.1w3.8d,250.0
www.walmart.com//601,2.4h2.4w2.2d,409.0
www.walmart.com//744,2.1h3.1w0.7d,2701.0
www.walmart.com//656,2.1h3.7w0.9d,182.0
www.walmart.com//640,1.0h2.6w4.3d,3019.0
www.walmart.com//705,2.5h2.4w4.2d,931.0
www.walmart.com//617,3.9h9.3w5.9d,1135.0
www.walmart.com//752,8.9h1.8w7.1d,154.0
www.walmart.com//725,3.0h4.0w6.0d,908.0
www.walmart.com//660,2.2h5.4w6.3d,386.0
www.walmart.com//772,2.7h2.9w4.1d,726.0
www.walmart.com//637,2.2h5.4w6.3d,386.0
www.walmart.com//158,3.0h4.2w5.3d,3450.0
www.walmart.com//764,1.6h2.5w4.4d,5226.0
www.walmart.com//621,3.6h3.0w4.4d,863.0
www.walmart.com//733,3.0h3.4w7.4d,204.0
www.walmart.com//699,1.2h2.4w3.8d,409.0
www.walmart.com//676,1.6h2.5w4.8d,931.0
www.walmart.com//709,3.0h2.0w4.0d,454.0
www.walmart.com//162,2.6h2.9w4.0d,772.0
www.walmart.com//163,4.2h5.7w6.3d,908.0
www.walmart.com//708,3.0h2.0w4.0d,454.0
www.walmart.com//749,3.0h2.0w4.0d,454.0
www.walmart.com//732,2.8h3.1w4.5d,908.0
www.walmart.com//698,2.8h4.3w1.7d,409.0
www.walmart.com//677,3.4h3.5w4.9d,1044.0
www.walmart.com//765,1.6h2.5w4.4d,885.0
www.walmart.com//159,2.7h3.1w4.4d,772.0
www.walmart.com//773,2.9h3.2w4.3d,908.0
www.walmart.com//636,1.2h2.4w3.8d,2252.0
www.walmart.com//724,3.0h6.0w7.0d,454.0
www.walmart.com//661,3.0h6.0w7.0d,454.0
www.walmart.com//616,0.8h2.4w4.0d,454.0
www.walmart.com//657,9.6h3.6w5.5d,3632.0
www.walmart.com//712,3.9h4.9w3.0d,1385.0
www.walmart.com//801,2.0h3.0w4.0d,454.0
www.walmart.com//694,3.9h4.9w3.0d,12984.0
www.walmart.com//155,2.7h3.1w4.4d,772.0
www.walmart.com//769,0.7h2.2w3.8d,454.0
www.walmart.com//786,8.1h7.3w10.3d,1634.0
www.walmart.com//728,2.6h2.9w4.0d,772.0
www.walmart.com//682,1.0h2.8w5.1d,654.0
www.walmart.com//689,1.0h2.6w4.5d,477.0
www.walmart.com//666,8.8h13.8w14.1d,3019.0
www.walmart.com//631,3.2h5.6w3.2d,568.0
www.walmart.com//762,3.1h3.8w5.0d,1634.0
www.walmart.com//627,3.1h5.5w7.4d,545.0
www.walmart.com//735,9.0h1.5w7.0d,272.0
www.walmart.com//719,2.7h3.8w4.9d,1861.0
www.walmart.com//758,3.2h5.6w3.2d,12008.0
www.walmart.com//685,3.0h4.0w6.0d,908.0
www.walmart.com//810,2.9h5.4w6.3d,499.0
www.walmart.com//778,2.2h0.7w3.8d,232.0
www.walmart.com//797,0.9h2.3w3.8d,386.0
www.walmart.com//781,2.5h4.6w1.4d,1044.0
www.walmart.com//693,3.1h3.9w5.1d,1498.0
www.walmart.com//739,4.2h3.4w4.9d,1090.0
www.walmart.com//806,0.9h2.1w3.2d,132.0
www.walmart.com//607,0.7h2.4w3.9d,327.0
www.walmart.com//742,2.0h3.0w4.0d,454.0
www.walmart.com//650,3.9h4.9w3.0d,1634.0
www.walmart.com//646,0.8h2.8w5.1d,908.0
www.walmart.com//703,0.7h2.3w3.7d,250.0
www.walmart.com//610,5.0h5.8w7.5d,999.0
www.walmart.com//755,3.1h3.9w5.1d,1498.0
www.walmart.com//647,2.2h0.9w3.9d,422.0
www.walmart.com//702,7.4h8.9w11.1d,2769.0
www.walmart.com//651,3.9h5.1w3.1d,1430.0
www.walmart.com//714,0.9h2.3w3.8d,386.0
www.walmart.com//606,2.3h2.8w2.5d,186.0
www.walmart.com//807,4.2h3.4w4.9d,1090.0
www.walmart.com//692,2.4h4.1w1.0d,272.0
www.walmart.com//738,4.4h5.7w7.5d,953.0
www.walmart.com//153,3.6h3.3w4.9d,1090.0
www.walmart.com//780,1.0h2.6w4.3d,3019.0
www.walmart.com//779,3.0h2.0w4.0d,454.0
www.walmart.com//796,3.6h3.0w4.4d,863.0
www.walmart.com//811,0.8h2.4w4.0d,454.0
www.walmart.com//684,0.7h2.3w3.7d,250.0
www.walmart.com//759,2.2h0.8w3.7d,422.0
www.walmart.com//718,3.9h9.4w6.8d,1276.0
www.walmart.com//734,1.8h7.0w9.0d,286.0
www.walmart.com//671,3.1h4.7w2.0d,6606.0
www.walmart.com//763,2.7h4.1w3.2d,636.0
www.walmart.com//626,2.3h2.8w2.5d,186.0
www.walmart.com//775,2.2h0.7w3.9d,472.0
www.walmart.com//630,6.0h3.3w8.3d,908.0
www.walmart.com//688,1.4h2.5w4.3d,658.0
www.walmart.com//722,3.0h5.0w6.0d,772.0
www.walmart.com//667,2.3h3.9w1.1d,454.0
www.walmart.com//648,1.0h3.0w4.0d,454.0
www.walmart.com//609,2.3h0.5w3.5d,159.0
www.walmart.com//672,3.9h5.1w3.1d,1430.0
www.walmart.com//808,7.4h8.9w11.1d,2769.0
www.walmart.com//625,8.2h9.5w10.5d,2429.0
www.walmart.com//760,3.0h6.0w7.0d,454.0
www.walmart.com//633,3.1h3.8w5.0d,3337.0
www.walmart.com//799,4.1h5.7w6.0d,681.0
www.walmart.com//776,3.1h3.8w5.0d,3337.0
www.walmart.com//664,3.0h2.0w4.0d,454.0
www.walmart.com//721,3.6h2.7w4.6d,3178.0
www.walmart.com//756,2.2h0.8w3.7d,422.0
www.walmart.com//613,0.9h2.3w3.8d,386.0
www.walmart.com//644,3.1h3.8w5.0d,1634.0
www.walmart.com//717,9.0h2.0w7.0d,340.0
www.walmart.com//652,2.0h5.5w5.5d,363.0
www.walmart.com//740,5.9h7.3w5.1d,7505.0
www.walmart.com//605,3.0h4.2w5.3d,13611.0
www.walmart.com//691,2.4h3.7w1.1d,454.0
www.walmart.com//629,2.2h4.8w6.3d,272.0
www.walmart.com//795,2.2h0.8w3.8d,499.0
www.walmart.com//668,2.8h3.1w4.5d,908.0
www.walmart.com//687,5.4h6.5w8.7d,1884.0
www.walmart.com//669,3.8h4.1w5.1d,953.0
www.walmart.com//686,3.6h3.4w4.9d,931.0
www.walmart.com//794,1.2h2.4w3.8d,409.0
www.walmart.com//628,6.7h5.5w2.6d,440.0
www.walmart.com//782,3.0h6.0w7.0d,454.0
www.walmart.com//690,2.4h4.1w1.0d,272.0
www.walmart.com//805,2.2h1.1w3.9d,390.0
www.walmart.com//741,2.5h2.4w4.2d,885.0
www.walmart.com//604,2.8h2.6w4.5d,1067.0
www.walmart.com//716,1.0h3.0w4.0d,454.0
www.walmart.com//653,2.1h3.7w0.9d,318.0
www.walmart.com//700,2.4h1.4w4.0d,726.0
www.walmart.com//645,1.0h3.0w4.0d,454.0
www.walmart.com//757,0.7h2.4w3.9d,327.0
www.walmart.com//612,2.9h3.2w4.3d,908.0
www.walmart.com//665,8.8h13.8w14.1d,3019.0
www.walmart.com//720,4.1h5.7w6.0d,681.0
www.walmart.com//632,2.7h4.1w3.2d,636.0
www.walmart.com//798,1.0h2.6w4.5d,908.0
www.walmart.com//777,0.8h2.4w4.0d,454.0
www.walmart.com//624,2.8h3.1w4.5d,908.0
www.walmart.com//761,1.0h3.0w4.0d,454.0
www.walmart.com//809,3.0h4.2w5.3d,2928.0
www.walmart.com//673,0.9h2.3w3.9d,386.0
www.walmart.com//736,3.0h3.0w5.0d,454.0
www.walmart.com//608,6.0h7.4w9.9d,1362.0
www.walmart.com//649,0.8h2.4w4.0d,454.0
www.walmart.com//750,2.7h4.3w1.4d,863.0
www.walmart.com//615,3.3h4.9w5.8d,2111.0
www.walmart.com//707,2.5h1.4w4.4d,681.0
www.walmart.com//642,3.1h3.9w5.1d,1771.0
www.walmart.com//711,2.0h3.0w4.0d,454.0
www.walmart.com//654,3.9h4.9w3.0d,12984.0
www.walmart.com//746,3.8h4.1w5.1d,885.0
www.walmart.com//802,2.8h3.1w4.5d,908.0
www.walmart.com//678,0.8h2.4w4.2d,340.0
www.walmart.com//697,3.6h3.3w4.9d,1090.0
www.walmart.com//156,2.7h2.9w4.5d,681.0
www.walmart.com//793,3.4h3.5w4.9d,1044.0
www.walmart.com//639,2.5h1.4w4.7d,822.0
www.walmart.com//681,1.0h2.6w4.5d,908.0
www.walmart.com//619,3.9h3.1w5.2d,3178.0
www.walmart.com//160,2.7h2.9w4.5d,681.0
www.walmart.com//658,3.9h5.2w3.0d,1621.0
www.walmart.com//674,2.4h4.1w1.0d,272.0
www.walmart.com//731,3.0h4.0w6.0d,2315.0
www.walmart.com//789,5.9h7.2w9.8d,1680.0
www.walmart.com//623,5.4h6.5w8.7d,1884.0
www.walmart.com//766,7.0h3.0w8.0d,454.0
www.walmart.com//635,1.2h2.4w3.8d,2252.0
www.walmart.com//727,2.0h3.0w4.0d,454.0
www.walmart.com//663,2.0h3.0w4.0d,454.0
www.walmart.com//726,4.1h5.5w3.1d,2043.0
www.walmart.com//771,3.6h3.4w4.9d,908.0
www.walmart.com//788,3.1h4.7w2.0d,6606.0
www.walmart.com//622,2.2h0.9w3.9d,422.0
www.walmart.com//767,3.8h1.9w5.0d,976.0
www.walmart.com//675,3.9h9.8w5.5d,1099.0
www.walmart.com//730,3.9h3.3w4.8d,7114.0
www.walmart.com//659,2.4h4.1w1.0d,272.0
www.walmart.com//161,3.1h3.9w5.2d,1861.0
www.walmart.com//618,2.5h0.5w3.5d,
www.walmart.com//680,0.7h2.3w3.7d,227.0
www.walmart.com//638,2.3h1.5w4.0d,613.0
www.walmart.com//784,2.1h3.1w0.7d,2701.0
www.walmart.com//157,4.3h5.7w7.5d,953.0
www.walmart.com//696,1.0h2.6w4.5d,908.0
www.walmart.com//803,2.2h0.9w3.6d,431.0
www.walmart.com//747,3.1h3.9w5.1d,1771.0
www.walmart.com//602,8.1h7.3w10.3d,1634.0
www.walmart.com//710,1.0h2.6w4.5d,908.0
www.walmart.com//655,2.9h3.2w4.3d,908.0
www.walmart.com//706,2.5h4.6w1.4d,1044.0
www.walmart.com//643,4.1h5.5w3.1d,1860.0
www.walmart.com//751,0.8h2.8w5.1d,654.0
www.walmart.com//614,2.4h5.6w5.8d,436.0
